Time(sec)	Temp(C)	DSC(mW)
0.000000	30.344700	-0.137585
0.099854	30.343500	-0.137510
0.199951	30.340500	-0.137499
0.299805	30.338900	-0.137520
0.399902	30.338299	-0.137510
0.500000	30.337399	-0.137467
0.599854	30.335899	-0.137430
0.699951	30.332600	-0.137451
0.799805	30.330399	-0.137451
0.899902	30.329699	-0.137488
1.000000	30.327099	-0.137531
1.099854	30.324799	-0.137499
1.199951	30.324299	-0.137499
1.299805	30.322199	-0.137531
1.399902	30.318998	-0.137574
1.500000	30.317099	-0.137585
1.599854	30.316299	-0.137574
1.699951	30.315100	-0.137606
1.799805	30.313299	-0.137574
1.899902	30.312199	-0.137585
2.000000	30.310499	-0.137606
2.099854	30.308100	-0.137595
2.199951	30.306599	-0.137585
2.299805	30.306700	-0.137595
2.399902	30.304699	-0.137574
2.500000	30.301899	-0.137563
2.599854	30.300798	-0.137531
2.699951	30.299099	-0.137494
2.799805	30.296499	-0.137483
2.899902	30.293999	-0.137472
3.000000	30.292700	-0.137472
3.099854	30.290899	-0.137451
3.199951	30.289499	-0.137440
3.299805	30.287899	-0.137440
3.399902	30.286299	-0.137408
3.500000	30.285500	-0.137371
3.599854	30.284300	-0.137360
3.699951	30.281799	-0.137296
3.799805	30.278599	-0.137226
3.899902	30.277699	-0.137141
4.000000	30.277399	-0.137087
4.099854	30.275400	-0.137050
4.199951	30.273600	-0.136975
4.299805	30.270899	-0.137018
4.399902	30.268499	-0.137018
4.500000	30.267500	-0.137007
4.599854	30.266199	-0.136996
4.699951	30.263300	-0.136975
4.799805	30.260899	-0.136975
4.899902	30.259298	-0.136985
5.000000	30.257599	-0.137018
5.099854	30.255999	-0.137050
5.199951	30.253899	-0.137071
5.299805	30.251499	-0.137060
5.399902	30.250099	-0.137071
5.500000	30.249300	-0.137082
5.599854	30.247700	-0.137092
5.699951	30.247000	-0.137103
5.799805	30.244699	-0.137151
5.899902	30.241999	-0.137205
6.000000	30.241400	-0.137216
6.099854	30.241098	-0.137258
6.199951	30.239698	-0.137306
6.299805	30.237598	-0.137317
6.399902	30.237000	-0.137413
6.500000	30.235498	-0.137462
6.599854	30.234600	-0.137579
6.699951	30.233398	-0.137670
6.799805	30.232199	-0.137804
6.899902	30.230900	-0.137890
7.000000	30.229599	-0.138002
7.099854	30.230000	-0.138146
7.199951	30.230400	-0.138334
