Time(sec)	Temp(C)	DTA(uV)	TGA(mg)
0.000000	28.335100	-0.745000	2.190300
1.000000	28.247000	-0.744000	2.189800
2.000000	28.190599	-0.742000	2.189499
3.000000	28.385799	-0.742000	2.189800
4.000000	28.276800	-0.740000	2.190300
5.000000	28.421499	-0.740000	2.189598
6.000000	28.464199	-0.739000	2.187901
7.000000	28.327900	-0.738000	2.187298
8.000000	28.519899	-0.738000	2.186897
9.000000	28.546999	-0.737000	2.187000
10.000000	28.472300	-0.736000	2.187099
11.000000	28.597599	-0.734000	2.187099
12.000000	28.533600	-0.732000	2.188297
13.000000	28.635199	-0.731000	2.188999
14.000000	28.781500	-0.730000	2.188999
15.000000	28.568998	-0.729000	2.189598
16.000000	28.740499	-0.728000	2.190098
17.000000	28.875099	-0.728000	2.190300
18.000000	28.817900	-0.728000	2.189499
19.000000	28.957199	-0.728000	2.189098
20.000000	28.930698	-0.728000	2.188400
21.000000	28.977600	-0.729000	2.187298
22.000000	29.200399	-0.730000	2.184399
23.000000	29.043098	-0.731000	2.181797
24.000000	29.187199	-0.733000	2.181198
25.000000	29.344599	-0.736000	2.179398
26.000000	29.252600	-0.740000	2.178101
27.000000	29.494799	-0.745000	2.177498
28.000000	29.464300	-0.751000	2.177799
29.000000	29.508499	-0.757000	2.179298
30.000000	29.752399	-0.765000	2.179199
31.000000	29.723598	-0.773000	2.179798
32.000000	29.761200	-0.781000	2.182400
33.000000	29.962599	-0.790000	2.183598
34.000000	29.888498	-0.798000	2.183998
35.000000	30.111198	-0.807000	2.181999
36.000000	30.190199	-0.814000	2.180298
37.000000	30.110600	-0.822000	2.179897
38.000000	30.396299	-0.833000	2.178299
39.000000	30.430599	-0.842000	2.176701
40.000000	30.514898	-0.852000	2.174400
41.000000	30.725698	-0.861000	2.173397
42.000000	30.650799	-0.871000	2.173397
43.000000	30.841900	-0.881000	2.171898
44.000000	31.066599	-0.889000	2.171299
45.000000	30.929298	-0.898000	2.170700
46.000000	31.171200	-0.905000	2.172100
47.000000	31.278799	-0.912000	2.175499
48.000000	31.349998	-0.919000	2.177299
49.000000	31.580399	-0.924000	2.179699
50.000000	31.524399	-0.930000	2.181400
51.000000	31.690699	-0.935000	2.183197
52.000000	31.949499	-0.939000	2.184700
53.000000	31.908298	-0.944000	2.181599
54.000000	32.065598	-0.948000	2.178699
55.000000	32.244301	-0.953000	2.175697
56.000000	32.255501	-0.958000	2.173199
57.000000	32.529301	-0.963000	2.171101
58.000000	32.539299	-0.968000	2.167400
59.000000	32.601398	-0.973000	2.166599
60.000000	32.917999	-0.977000	2.167599
61.000000	32.883301	-0.981000	2.169899
62.000000	33.067299	-0.983000	2.172897
63.000000	33.262501	-0.986000	2.173901
64.000000	33.235298	-0.988000	2.174698
65.000000	33.522900	-0.990000	2.175198
66.000000	33.657101	-0.992000	2.174900
67.000000	33.645199	-0.995000	2.174297
68.000000	33.931400	-0.998000	2.173100
69.000000	33.942200	-1.000000	2.172298
70.000000	34.134098	-1.001000	2.171600
71.000000	34.354500	-1.001000	2.171997
72.000000	34.295601	-0.999000	2.173100
73.000000	34.560699	-0.996000	2.174500
74.000000	34.765598	-0.992000	2.175198
75.000000	34.754299	-0.987000	2.175598
76.000000	35.008801	-0.983000	2.177498
77.000000	35.091698	-0.979000	2.177998
78.000000	35.232899	-0.977000	2.177200
79.000000	35.548199	-0.974000	2.176598
80.000000	35.464699	-0.973000	2.176098
81.000000	35.643398	-0.972000	2.175800
82.000000	35.955799	-0.971000	2.172600
83.000000	35.905201	-0.970000	2.167900
84.000000	36.174599	-0.971000	2.166100
85.000000	36.282200	-0.972000	2.164200
86.000000	36.369301	-0.976000	2.162399
87.000000	36.701900	-0.979000	2.160797
88.000000	36.702297	-0.982000	2.159100
89.000000	36.838100	-0.985000	2.160198
90.000000	37.142399	-0.988000	2.160198
91.000000	37.120197	-0.989000	2.160000
92.000000	37.400600	-0.990000	2.160599
93.000000	37.530701	-0.990000	2.160400
94.000000	37.532200	-0.989000	2.160297
95.000000	37.863800	-0.989000	2.160297
96.000000	37.998100	-0.989000	2.160797
97.000000	38.063400	-0.988000	2.160297
98.000000	38.323799	-0.987000	2.158798
99.000000	38.393299	-0.984000	2.157700
100.000000	38.610001	-0.979000	2.156998
101.000000	38.851799	-0.974000	2.155800
102.000000	38.788799	-0.967000	2.153500
103.000000	39.077400	-0.959000	2.152100
104.000000	39.291698	-0.952000	2.151100
105.000000	39.331200	-0.945000	2.149799
106.000000	39.588100	-0.940000	2.147198
107.000000	39.626999	-0.936000	2.145901
108.000000	39.840500	-0.932000	2.146297
109.000000	40.149300	-0.929000	2.146000
110.000000	40.112000	-0.928000	2.145000
111.000000	40.315998	-0.926000	2.144100
112.000000	40.581497	-0.925000	2.144501
113.000000	40.598400	-0.924000	2.144398
114.000000	40.880600	-0.923000	2.143497
115.000000	40.931297	-0.923000	2.141399
116.000000	41.081100	-0.923000	2.139099
117.000000	41.378899	-0.923000	2.136997
118.000000	41.445999	-0.923000	2.134998
119.000000	41.564800	-0.922000	2.133900
120.000000	41.855900	-0.921000	2.132900
121.000000	41.865700	-0.919000	2.133301
122.000000	42.162300	-0.914000	2.135700
123.000000	42.331699	-0.909000	2.138901
124.000000	42.310799	-0.904000	2.142097
125.000000	42.642200	-0.899000	2.143898
126.000000	42.771698	-0.895000	2.145699
127.000000	42.884098	-0.892000	2.146797
128.000000	43.127098	-0.890000	2.148300
129.000000	43.137398	-0.889000	2.149200
130.000000	43.402298	-0.887000	2.148499
131.000000	43.681999	-0.884000	2.147800
132.000000	43.607700	-0.880000	2.147900
133.000000	43.887699	-0.876000	2.148800
134.000000	44.104099	-0.869000	2.148998
135.000000	44.175900	-0.861000	2.149097
136.000000	44.463799	-0.853000	2.149899
137.000000	44.491699	-0.846000	2.150200
138.000000	44.651100	-0.839000	2.150497
139.000000	44.985500	-0.833000	2.148899
140.000000	45.002098	-0.829000	2.147999
141.000000	45.171101	-0.824000	2.148098
142.000000	45.437000	-0.821000	2.147800
143.000000	45.447300	-0.818000	2.149399
144.000000	45.763798	-0.816000	2.150398
145.000000	45.879601	-0.815000	2.152000
146.000000	45.954700	-0.813000	2.154400
147.000000	46.299900	-0.812000	2.154598
148.000000	46.340401	-0.811000	2.153500
149.000000	46.525200	-0.810000	2.151600
150.000000	46.760700	-0.809000	2.148899
151.000000	46.777397	-0.808000	2.146599
152.000000	47.078697	-0.808000	2.142597
153.000000	47.266499	-0.806000	2.139599
154.000000	47.280499	-0.805000	2.138000
155.000000	47.590401	-0.804000	2.134598
156.000000	47.694698	-0.803000	2.130798
157.000000	47.884499	-0.802000	2.127300
158.000000	48.135899	-0.801000	2.125099
159.000000	48.133598	-0.798000	2.122299
160.000000	48.392399	-0.796000	2.117699
161.000000	48.689301	-0.791000	2.114998
162.000000	48.639999	-0.787000	2.113899
163.000000	48.878300	-0.783000	2.113598
164.000000	49.105801	-0.778000	2.113098
165.000000	49.184299	-0.775000	2.113400
166.000000	49.504398	-0.772000	2.115097
167.000000	49.495899	-0.771000	2.117500
168.000000	49.701599	-0.771000	2.120998
169.000000	50.033298	-0.771000	2.125198
170.000000	50.059200	-0.772000	2.128799
171.000000	50.266399	-0.773000	2.131397
172.000000	50.465397	-0.774000	2.132099
173.000000	50.530697	-0.776000	2.132698
174.000000	50.819298	-0.777000	2.132000
175.000000	50.908497	-0.779000	2.129799
176.000000	51.010201	-0.779000	2.129398
177.000000	51.339798	-0.780000	2.129601
178.000000	51.391197	-0.780000	2.131397
179.000000	51.585300	-0.779000	2.133400
180.000000	51.821301	-0.777000	2.134197
181.000000	51.844997	-0.774000	2.134998
182.000000	52.100800	-0.773000	2.133900
183.000000	52.358799	-0.771000	2.133198
184.000000	52.298599	-0.769000	2.132999
185.000000	52.618099	-0.768000	2.133400
186.000000	52.729397	-0.766000	2.133801
187.000000	52.887398	-0.765000	2.132797
188.000000	53.178497	-0.763000	2.132599
189.000000	53.157097	-0.761000	2.132599
190.000000	53.395699	-0.759000	2.132599
191.000000	53.694901	-0.755000	2.132599
192.000000	53.705399	-0.752000	2.132599
193.000000	53.928299	-0.748000	2.134998
194.000000	54.108498	-0.744000	2.137699
195.000000	54.212799	-0.740000	2.139599
196.000000	54.515499	-0.735000	2.139599
197.000000	54.546097	-0.731000	2.138500
198.000000	54.692101	-0.726000	2.138100
199.000000	55.032398	-0.721000	2.137600
200.000000	55.066700	-0.717000	2.137100
201.000000	55.236099	-0.711000	2.137699
202.000000	55.484398	-0.707000	2.139297
203.000000	55.509399	-0.702000	2.142998
204.000000	55.834198	-0.697000	2.146099
205.000000	55.997597	-0.693000	2.147499
206.000000	56.032700	-0.689000	2.147800
207.000000	56.368500	-0.687000	2.147499
208.000000	56.424900	-0.684000	2.148098
209.000000	56.620300	-0.683000	2.147198
210.000000	56.876598	-0.681000	2.144798
211.000000	56.857998	-0.679000	2.141701
212.000000	57.166298	-0.677000	2.137897
